Year,Rainfall amount (millimetres)
1991,3
1991,21.2
1991,7.8
1991,1.8
1991,12.2
1991,0.8
1991,0.8
1991,0.2
1991,0.4
1991,0.4
1991,0.8
1991,0.1
1991,0
1991,0.2
1991,5
1991,7
1991,0.4
1991,38.4
1991,5.8
1991,0
1991,0.1
1991,3.6
1991,0.1
1991,0
1991,0
1991,0
1991,0
1991,1.6
1991,0.4
1991,0
1991,0.1
1991,0.2
1991,0
1991,0
1991,2.8
1991,0.4
1991,8.2
1991,7.6
1991,0.4
1991,3.4
1991,10.8
1991,0.8
1991,3
1991,0.2
1991,0
1991,0.4
1991,4.6
1991,11.4
1991,1.2
1991,0
1991,10.8
1991,0.1
1991,5
1991,0.6
1991,6
1991,7.2
1991,1.2
1991,0.1
1991,0
1991,0
1991,3.2
1991,5.6
1991,1
1991,1.2
1991,17
1991,7.2
1991,2.6
1991,0.2
1991,0.2
1991,0.2
1991,0.2
1991,0
1991,0
1991,0
1991,11
1991,0.4
1991,1.2
1991,0
1991,0
1991,0
1991,0
1991,0
1991,17.4
1991,0
1991,0
1991,0.6
1991,0.8
1991,17.2
1991,4.6
1991,0.2
1991,0.6
1991,0.2
1991,0
1991,0.6
1991,0
1991,0
1991,2.8
1991,9.2
1991,0
1991,0
1991,13.2
1991,0
1991,27
1991,41
1991,0
1991,0
1991,0.8
1991,0.4
1991,5.2
1991,0
1991,3
1991,5.4
1991,5.2
1991,3.8
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0.8
1991,10.6
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0.2
1991,0
1991,14.4
1991,0.4
1991,14
1991,0.2
1991,0
1991,0
1991,0
1991,0.6
1991,0
1991,0.6
1991,0
1991,0
1991,0
1991,0
1991,7.8
1991,2.2
1991,0
1991,0.6
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0.4
1991,0
1991,0
1991,0
1991,0
1991,0.6
1991,0
1991,9
1991,0.4
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0.2
1991,0.2
1991,11.4
1991,0.2
1991,0
1991,2
1991,1.4
1991,0
1991,0
1991,0.2
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,8.6
1991,50.8
1991,15.6
1991,0.2
1991,0
1991,0
1991,0
1991,0
1991,7.2
1991,0
1991,0
1991,0.4
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,16.8
1991,12
1991,3
1991,0
1991,0
1991,1
1991,14.8
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0.4
1991,0.4
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0.4
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,1.2
1991,6.2
1991,1.4
1991,0.8
1991,0
1991,0
1991,0
1991,0
1991,0
1991,0
1991,2.6
1991,0
1991,0.8
1991,23
1991,1.4
1991,0.2
1991,0.2
1991,0
1991,12
1991,0.2
1991,0
1991,0
1991,0
1991,11.8
1991,2.8
1991,0.4
1991,0.6
1991,0
1991,0
1991,0.8
1991,0
1991,0
1991,0
1991,0.2
1991,0
1991,0
1991,0
1991,0.2
1991,0.4
1991,0
1991,4.6
1991,0
1991,0
1991,0
1991,4.8
1991,0
1991,0
1991,11.2
1991,0.6
1991,0
1991,0
1991,0
1991,0.2
1991,0.4
1991,2.4
1991,0.4
1991,1.6
1991,0.2
1991,0
1991,0
1991,0.4
1991,4.4
1991,1.6
1991,0.4
1991,3.4
1991,1
1991,0.2
1991,0
1991,0
1991,3.6
1991,0.2
1991,0.4
1991,0.2
1991,0.2
1991,5.2
1991,6.2
1991,5
1991,0
1991,0.2
1991,0
1991,0.2
1991,0.4
1991,0.2
1991,0.2
1991,0
1991,16
1991,21.4
1991,2
1991,0
1991,0.2
1991,4
1991,37
1991,3
1991,5.6
1991,4.6
1991,13.2
1991,0
1991,0.2
1991,0.2
1991,2.8
1991,11.6
1991,3.6
1991,0.2
1991,0.2
1991,1.4
1991,4
1991,0
1991,20.2
1991,0.8
1991,8
1991,0.2
1991,2.6
1991,12.6
1991,1.2
1992,0.2
1992,0.2
1992,0.2
1992,0
