Year,Max_temp
1991,8.6
1991,11
1991,11.2
1991,13.9
1991,10.1
1991,11.2
1991,14.5
1991,13.5
1991,12.5
1991,13.9
1991,11.6
1991,13.2
1991,14
1991,15
1991,13.9
1991,16.4
1991,17.6
1991,11.8
1991,13
1991,15.1
1991,13.6
1991,14.8
1991,16.9
1991,17.6
1991,13.3
1991,12.5
1991,12.3
1991,11.3
1991,12.2
1991,13.2
1991,13.3
1991,13.3
1991,13.2
1991,13.5
1991,15.5
1991,13.2
1991,13.7
1991,12.2
1991,12.3
1991,11.6
1991,12.6
1991,13
1991,12.9
1991,13.6
1991,13.7
1991,13.4
1991,12.9
1991,11.9
1991,11.6
1991,15.6
1991,14.5
1991,12.6
1991,10.5
1991,12
1991,11.5
1991,10.8
1991,11.4
1991,14.6
1991,16.6
1991,15.2
1991,14.5
1991,13.5
1991,14.5
1991,11.9
1991,11
1991,13.2
1991,14.5
1991,15
1991,12.8
1991,14.5
1991,18.3
1991,20.5
1991,18.1
1991,12.5
1991,10.7
1991,13.4
1991,14
1991,12.1
1991,17.2
1991,19.5
1991,20.5
1991,22.4
1991,14.4
1991,15.3
1991,19.3
1991,23.2
1991,19
1991,13
1991,14.5
1991,16
1991,17.5
1991,20.3
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,
1991,39.2
1991,39.7
1991,19.1
1991,16.1
1991,19.2
1991,20
1991,20.6
1991,26.7
1991,34.7
1991,37.4
1991,25.5
1991,24.4
1991,25.2
1991,20
1991,19.5
1991,18.5
1991,21.5
1991,26.8
1991,24.6
1991,21.9
1991,28
1991,23.7
1991,27.5
1991,28
1991,24.5
1991,21
1991,21.6
1991,19
1991,24.4
1991,20.5
1991,20
1991,30
1991,32.3
1991,30.2
1991,21.1
1991,19.7
